ID         交易年月  總價(含車)  單價(含車)  權狀   建坪
IFFBF78CA  13-01     2717(3142)  52(44)      71.9   52.4
IFFBF08CA  13-02     2460(2835)  47(39)      71.8   52.4
JFFBF18CA  14-02     4379(4880)  59(51)      96.3   73.9
IFFBF48CA  13-01     3287(3497)  50(46)      75.6   65.9
IFFBF58CA  13-01     2524(2784)  47(38)      72.9   53.5
IFFBF88CA  13-01     2825(3020)  50(46)      66.2   56.5
KFFBF27CA  15-02     2250(2400)  43(38)      63.1   52.1
OFFBF57DA  19-08     2620(2620)  39(39)      66.8   66.8
OFFBF87CA  19-02     1889(1889)  35(35)      53.5   53.5
JFFBF37CA  14-11     3520(3703)  58(51)      72.7   60.7
MFFBF28CD  17-05     2800(3140)  47(38)      81.9   60.0
LFFBF57CA  16-02     3476(3922)  56(45)      86.2   62.2
LFFBF08CA  16-06     2730(2730)  38(38)      72.1   72.1
OFFBF08DA  19-10     2790(3030)  50(45)      67.6   55.7
MFFBF97DA  17-01     2060(2400)  39(33)      72.1   52.6
NFFBF48CA  18-05     2858(3070)  51(45)      68.4   56.1
OFFBF18DA  19-09     2090(2510)  37(33)      75.6   56.2
LFFBF28CA  16-06     3268(3728)  53(43)      85.9   61.9
KFFBF77CA  14-12     3823(4228)  58(47)      89.9   65.9
LFFBF38DA  16-01     3660(4100)  53(45)      91.3   69.1
KFFBF77CA  15-08     3745(4175)  52(47)      89.7   72.0
OFFBF18CA  19-09     2930(2930)  41(41)      71.2   71.2
LFFBF28CA  16-04     2465(2465)  40(40)      61.8   61.8
JFFBF08CA  14-11     3767(4140)  57(46)      89.9   65.9
IFFBF37CA  13-02     3320(3740)  51(44)      85.2   65.7
LFFBF47CA  15-12     3010(3200)  44(42)      76.1   68.1
OFFBF68CA  19-07     2569(3259)  46(35)      92.9   56.1
IFFBF18CA  13-05     3170(3350)  52(51)      66.0   61.5
IFFBF37CA  13-01     3017(3407)  51(43)      79.2   59.7
PFFBF08CA  20-01     3382(3577)  45(41)      87.3   75.5
KFFBF27CA  15-01     3438(3836)  56(45)      85.9   61.9
KFFBF27CA  14-12     3478(3862)  56(45)      86.1   62.1
KFFBF47CA  15-09     3333(3518)  54(48)      73.2   61.2
KFFBF77CA  15-03     3319(3500)  54(48)      73.0   61.0
KFFBF18CA  15-05     2450(2800)  46(39)      72.7   53.2
JFFBF57CA  14-05     3408(3618)  46(42)      86.2   73.3
IFFBF97CA  13-01     2676(2936)  50(40)      72.8   53.3
