ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
---------  --------  ----------  ----------  ----  ----
OFFBF97CA  19-03     2060(2255)  43(38)      59.5  47.4
NFFBF48CA  18-03     2242(2457)  46(42)      58.6  48.8
NFFBF18CA  18-07     1280(1280)  43(43)      30.1  30.1
PFFBF87CA  20-02     1295(1580)  39(36)      44.2  33.0
NFFBF87CA  18-03     2202(2412)  50(43)      56.3  44.2
OFFBF37CA  19-08     1223(1488)  38(34)      43.9  32.3
LFFBF87CA  16-07     2102(2292)  60(48)      47.3  35.2
MFFBF08CA  17-06     1420(1645)  46(36)      45.8  31.2
MFFBF97CA  17-06     2108(2108)  60(60)      35.4  35.4
KFFBF87CA  15-07     2055(2055)  54(54)      38.1  38.1
LFFBF87CA  16-06     2085(2240)  55(46)      48.5  38.1
MFFBF87CA  17-05     1435(1630)  47(38)      43.1  30.6
MFFBF57CA  17-01     1673(1898)  55(44)      42.9  30.4
MFFBF08CA  17-06     2008(2008)  56(56)      35.7  35.7
MFFBF77CA  17-08     2054(2484)  45(38)      65.6  45.8
PFFBF18CA  19-09     1605(1835)  36(33)      56.4  44.0
MFFBF77CA  17-09     1923(2128)  49(41)      51.5  39.0
LFFBF87CA  16-10     2716(2910)  61(51)      56.7  44.6
OFFBF38CA  19-09     1820(2050)  43(37)      55.0  42.5
LFFBF78CA  16-08     2568(2780)  57(49)      56.9  44.8
IFFBF87CA  13-10     1500(1670)  41(41)      41.2  36.7
OFFBF68CA  19-02     1825(2040)  45(38)      54.3  40.7
OFFBF28CA  19-07     1412(1612)  46(36)      44.4  30.4
LFFBF18DA  16-07     2618(2858)  53(46)      61.6  49.6
OFFBF77CA  19-01     1225(1500)  37(34)      44.2  33.0
NFFBF77CA  18-01     2326(2546)  51(44)      57.4  45.3
MFFBF18CA  17-06     1885(2110)  46(38)      55.3  40.7
OFFBF87CA  19-01     1680(1920)  41(35)      55.4  40.9
LFFBF67EA  16-05     1988(1988)  40(40)      49.1  49.1
LFFBF67CA  16-01     1990(2110)  55(53)      39.8  36.0
OFFBF68DA  19-07     1365(1555)  45(36)      43.1  30.6
JFFBF67DA  14-09     1650(1840)  48(40)      46.5  34.4
PFFBF18CA  19-11     1960(2130)  41(36)      59.5  47.4
KFFBF97CA  15-08     2034(2034)  53(53)      38.1  38.1
JFFBF08CA  14-11     2647(2835)  61(51)      56.1  43.1
LFFBF57CA  16-10     1960(2150)  56(45)      47.3  35.2
MFFBF87CA  17-04     1628(1818)  53(44)      41.0  30.7
OFFBF28CA  19-04     1605(1840)  39(34)      54.0  40.8
