ID         交易年月  總價(含車)    單價(含車)  權狀   建坪 
NFFBF98CA  18-06     4680(5280)    51(41)      127.9  91.2 
PFFBF38CA  20-02     6918(7888)    55(46)      171.3  126.0
KFFBF57CA  14-12     4230(4230)    44(44)      96.0   96.0 
KFFBF77CA  13-12     4041(4461)    46(42)      105.0  87.3 
KFFBF58CA  15-04     6392(7045)    59(48)      145.7  108.9
PFFBF68DA  19-12     3900(4120)    48(44)      93.1   80.9 
KFFBF28CA  15-06     4339(4864)    52(43)      112.7  83.6 
MFFBF58CA  17-06     7000(7000)    40(40)      175.2  175.2
KFFBF97CA  14-12     3537(3537)    37(37)      96.9   96.9 
PFFBF38DA  20-09     7681(8377)    54(48)      175.0  141.0
KFFBF97CA  14-06     6732(7402)    51(47)      158.5  132.0
OFFBF18CA  19-06     7860(8532)    62(53)      160.0  126.0
OFFBF38CA  19-01     3358(3618)    40(35)      103.7  84.3 
JFFBF97CA  13-11     6640(7308)    60(50)      146.6  109.9
PFFBF07DA  20-08     5918(5918)    40(40)      146.4  146.4
IFFBF09CA  13-09     5888(6244)    59(50)      124.0  99.5 
JFFBF08CA  13-12     5611(5962)    62(52)      115.7  91.2 
JFFBF88CA  14-06     5676(6163)    62(53)      115.7  91.2 
KFFBF58CA  15-09     4250(4680)    45(42)      112.1  94.5 
JFFBF48CA  13-12     5993(6488)    38(36)      181.0  158.7
PFFBF78CA  19-10     8088(8888)    57(48)      186.4  141.1
MFFBF76CA  17-07     4008(4523)    49(41)      111.3  82.2 
IFFBF88CA  13-10     4487(5057)    48(47)      107.1  93.6 
LFFBF67CA  15-11     8026(8686)    53(49)      178.0  151.5
JFFBF18CA  14-08     6630(7300)    60(46)      158.8  109.8
JFFBF77CA  13-12     6765(7458)    62(51)      146.4  109.7
JFFBF58CA  14-08     5392(5732)    59(50)      115.7  91.2 
KFFBF28CA  15-06     7540(8200)    51(47)      175.2  148.7
MFFBF98CA  17-09     4004(4509)    48(40)      112.1  83.0 
KFFBF87CA  13-12     4500(4910)    52(47)      104.9  87.3 
IFFBF38CA  13-03     3897(4317)    48(43)      100.6  81.1 
NFFBF68CA  18-06     4570(4970)    46(40)      124.1  99.6 
PFFBF88DA  20-02     7838(8260)    56(50)      163.6  141.0
KFFBF97CA  14-04     4545(4765)    51(49)      98.2   89.3 
KFFBF08CA  14-12     3546(3546)    37(37)      95.7   95.7 
JFFBF38CA  14-10     4510(4750)    55(49)      96.8   82.3 
JFFBF88DA  14-03     5693(6188)    36(34)      181.0  158.7
KFFBF18CA  15-09     4250(4680)    45(42)      112.1  94.5 
PFFBF66DA  20-05     3486(3486)    42(42)      84.0   84.0 
IFFBF58CA  13-05     4860(5220)    51(50)      105.2  94.8 
OFFBF76CA  19-04     3845(4075)    46(42)      98.1   83.6 
JFFBF48CA  13-12     5793(6258)    37(35)      181.0  158.7
PFFBF17DA  20-06     8538(9473)    61(51)      186.3  141.0
KFFBF28CA  15-07     6527(7127)    51(46)      155.1  128.6
JFFBF88CA  14-07     5833(6328)    37(35)      181.1  158.8
