ID         交易年月  總價(含車)  單價(含車)  權狀  建坪
HFFBF58CA  12-08     1406(1406)  38(38)      37.0  37.0
PFFBF09CA  20-02     1268(1468)  41(36)      40.8  31.0
KFFBF18CA  15-06     1760(1990)  43(39)      50.5  40.9
HFFBF97CA  12-10     1277(1432)  37(31)      46.4  34.6
IFFBF48CA  13-04     2062(2282)  43(39)      58.8  48.5
OFFBF28CA  19-04     1182(1182)  38(38)      31.3  31.3
JFFBF08CA  14-06     1600(1600)  42(42)      37.9  37.9
IFFBF08CA  13-08     1575(1575)  42(42)      37.6  37.6
JFFBF08CA  14-05     2129(2284)  49(40)      57.5  43.1
JFFBF18CA  14-07     1805(2015)  46(42)      48.0  39.2
NFFBF08CA  18-09     2056(2276)  44(41)      55.7  46.6
IFFBF18CA  13-06     1430(1640)  43(40)      40.8  33.3
IFFBF87CA  13-03     1330(1330)  42(42)      32.0  32.0
PFFBF28CA  19-11     1874(2064)  40(37)      55.7  46.6
KFFBF77CA  15-08     1715(1930)  44(39)      49.7  39.1
PFFBF78CA  19-12     1282(1502)  41(37)      40.8  31.0
JFFBF28CA  14-02     2563(2738)  52(45)      61.0  49.3
NFFBF28CA  18-09     1398(1588)  45(39)      40.3  31.2
OFFBF98CA  19-06     1450(1450)  36(36)      40.5  40.5
IFFBF48CA  13-07     1727(1947)  41(37)      52.2  41.9
KFFBF78CA  15-07     1669(1874)  43(38)      49.7  39.0
PFFBF88CA  19-12     1385(1610)  41(35)      45.5  34.0
PFFBF88CA  20-02     1250(1250)  33(33)      37.9  37.9
IFFBF28CA  13-03     1290(1290)  34(34)      37.6  37.6
NFFBF56CA  18-06     1050(1050)  34(34)      31.2  31.2
OFFBF86CA  19-08     1543(1543)  38(38)      40.3  40.3
JFFBF67CA  14-03     1350(1350)  40(40)      33.6  33.6
JFFBF67CA  13-03     1308(1308)  36(36)      36.1  36.1
HFFBF18DA  12-08     2083(2288)  43(39)      58.8  48.5
IFFBF87CA  13-04     2114(2279)  43(40)      56.4  49.1
LFFBF77CA  16-09     1300(1510)  41(34)      45.0  31.9
HFFBF47DA  12-08     1360(1360)  34(34)      40.1  40.1
JFFBF38CA  14-04     2090(2225)  48(39)      57.5  43.1
JFFBF08CA  14-11     1790(1990)  44(40)      49.4  40.6
NFFBF78CA  18-05     1360(1360)  38(38)      36.1  36.1
HFFBF68CA  12-08     1305(1305)  36(36)      36.2  36.2
HFFBF47CA  12-07     1250(1430)  41(37)      38.4  30.2
KFFBF38CA  15-07     1658(1863)  43(37)      49.7  39.0
IFFBF97CA  13-04     1349(1499)  42(39)      38.4  32.0
IFFBF28CA  13-03     1390(1560)  41(38)      41.2  33.6
OFFBF56CA  19-07     1725(1925)  44(36)      53.7  39.4
IFFBF18CA  13-11     1800(1800)  38(38)      47.3  47.3
HFFBF78CA  12-08     1330(1330)  37(37)      36.2  36.2
KFFBF38CA  15-06     1885(2100)  46(41)      51.7  41.0
KFFBF48CA  15-05     1535(1740)  48(41)      42.5  31.9
IFFBF48CA  13-04     1922(2108)  44(40)      52.2  43.8
IFFBF38CA  13-05     1448(1658)  43(41)      40.8  33.3
JFFBF58DA  14-04     1780(1780)  41(41)      43.9  43.9
KFFBF48CA  15-06     1745(1970)  43(38)      51.5  40.9
IFFBF28CA  13-05     1785(2005)  42(38)      52.5  42.2
OFFBF88CA  19-11     1778(1998)  45(37)      53.7  39.4
IFFBF88CA  13-05     1385(1545)  41(37)      41.8  33.6
KFFBF07CA  15-06     1770(2005)  43(40)      50.5  40.9
JFFBF37CA  14-02     2520(2720)  51(45)      61.0  49.3
PFFBF77DA  19-12     1672(1862)  39(36)      52.3  43.1
MFFBF67CA  17-03     2230(2430)  47(43)      57.0  47.1
HFFBF96EA  12-03     1272(1452)  42(38)      38.4  30.2
MFFBF47CA  17-10     1196(1196)  33(33)      36.8  36.8
KFFBF57CA  15-03     2148(2353)  44(40)      59.3  49.1
OFFBF18CA  19-05     2153(2343)  46(42)      55.7  46.6
KFFBF37CA  14-12     1257(1407)  34(27)      51.3  36.6
JFFBF97DA  14-05     1829(1829)  38(38)      47.8  47.8
JFFBF47CA  14-09     1670(1670)  35(35)      47.5  47.5
HFFBF08DA  12-07     1394(1579)  41(35)      45.7  34.0
KFFBF38DA  15-08     1505(1505)  38(38)      40.0  40.0
KFFBF28CA  15-06     1787(2002)  44(39)      51.7  41.0
JFFBF67CA  14-10     1930(2135)  46(41)      52.3  42.2
IFFBF67CA  13-02     1511(1681)  42(38)      44.6  35.6
HFFBF27CA  12-09     1140(1230)  34(31)      39.8  33.9
NFFBF08CA  18-10     1485(1700)  48(42)      40.3  31.2
OFFBF68CA  19-06     1984(2174)  43(39)      55.7  46.6
KFFBF97DA  15-01     1366(1366)  38(38)      35.7  35.7
HFFBF28CA  12-08     1371(1371)  38(38)      36.2  36.2
JFFBF97CA  14-02     1310(1310)  38(38)      34.3  34.3
IFFBF97CA  13-03     1245(1245)  41(41)      30.2  30.2
PFFBF48DA  20-06     2030(2230)  47(39)      57.5  43.1
JFFBF97CA  13-03     1655(1815)  40(37)      48.7  41.1
JFFBF96CA  13-12     1750(2145)  43(36)      59.5  40.6
MFFBF37CA  16-12     1425(1660)  45(37)      45.0  31.9
KFFBF17CA  15-08     1180(1180)  34(34)      34.6  34.6
IFFBF27CA  13-04     2128(2308)  44(39)      58.6  48.6
MFFBF67CA  17-02     2095(2325)  48(40)      57.9  43.4
MFFBF18CA  17-06     1400(1400)  35(35)      40.0  40.0
KFFBF37CA  15-01     2248(2433)  47(42)      57.8  47.8
LFFBF77CA  16-01     1645(1880)  41(37)      51.2  40.5
KFFBF87CA  15-05     1805(2020)  44(39)      51.5  40.9
MFFBF57CA  16-11     1885(2110)  43(37)      56.5  43.4
JFFBF27CA  13-09     2000(2170)  41(35)      62.2  48.5
MFFBF87CA  16-11     1600(1600)  35(35)      46.0  46.0
LFFBF18CA  16-02     1630(1855)  40(36)      51.2  40.5
IFFBF08CA  13-06     1894(2085)  43(40)      52.4  44.0
KFFBF67CA  15-06     2455(2675)  50(45)      58.9  49.3
MFFBF38CA  17-05     1330(1330)  34(34)      39.3  39.3
KFFBF77DA  14-12     1450(1450)  36(36)      40.5  40.5
KFFBF77CA  15-09     1768(1768)  37(37)      47.2  47.2
JFFBF08CA  14-04     1760(1760)  38(38)      46.4  46.4
KFFBF38CA  15-06     1805(2030)  44(39)      51.5  40.9
IFFBF47CA  13-09     1290(1290)  38(38)      34.3  34.3
IFFBF67CA  12-12     1470(1660)  42(39)      42.2  34.6
IFFBF08CA  13-05     1284(1434)  41(38)      37.5  31.1
MFFBF38CA  17-03     2033(2223)  42(36)      61.7  48.2
JFFBF08CA  14-04     2206(2376)  45(43)      55.5  49.1
LFFBF08CA  16-10     1390(1390)  44(44)      31.9  31.9
KFFBF18CA  15-02     1750(1930)  40(36)      53.5  43.6
KFFBF48CA  15-06     1737(1952)  42(38)      50.9  40.9
KFFBF58CA  15-05     1550(1550)  49(49)      31.9  31.9
MFFBF78CA  17-05     1315(1315)  39(39)      33.3  33.3
JFFBF67CA  14-05     2038(2208)  47(38)      57.5  43.1
HFFBF37CA  12-10     1660(1840)  40(37)      50.1  41.3
IFFBF28CA  13-04     1370(1530)  41(37)      41.2  33.6
KFFBF78CA  15-07     1505(1710)  47(40)      42.5  31.9
JFFBF37CA  13-04     1400(1400)  37(37)      37.9  37.9
IFFBF07CA  13-09     2139(2369)  44(40)      58.8  48.5
IFFBF87CA  13-08     1850(2060)  44(39)      52.4  42.1
IFFBF87CA  13-03     1983(2158)  40(37)      58.0  49.6
PFFBF08DA  20-10     1650(1650)  41(41)      40.0  40.0
OFFBF97DA  19-01     1880(2080)  41(36)      58.4  46.3
MFFBF57CA  16-12     1712(1712)  37(37)      46.3  46.3
PFFBF68DA  20-07     1330(1330)  37(37)      36.1  36.1
IFFBF37CA  13-09     1210(1210)  33(33)      36.9  36.9
PFFBF38CA  20-01     1768(2008)  46(38)      52.3  38.7
OFFBF88CA  19-06     1378(1598)  41(36)      44.8  33.3
JFFBF57CA  13-12     1800(1950)  47(41)      47.3  38.2
IFFBF57CA  13-02     2043(2243)  42(38)      59.0  48.7
IFFBF67CA  13-01     1900(2050)  45(36)      57.2  41.9
IFFBF87CA  13-04     1377(1377)  41(41)      33.6  33.6
PFFBF78CA  20-02     1278(1478)  41(36)      40.8  31.0
JFFBF67CA  13-12     2168(2378)  44(41)      57.9  49.1
IFFBF38CA  13-07     1480(1480)  39(39)      37.7  37.7
OFFBF48CA  19-07     1375(1600)  41(36)      44.5  33.2
IFFBF38CA  13-07     1349(1519)  43(40)      38.4  31.1
IFFBF08CA  13-03     1707(1892)  41(38)      50.0  41.3
HFFBF58DA  12-07     1680(1880)  43(37)      51.2  39.5
KFFBF28CA  15-02     1750(1930)  40(32)      59.7  43.6
PFFBF78DA  20-06     1565(1790)  51(40)      45.1  30.6
LFFBF47CA  16-09     1695(1695)  35(35)      47.9  47.9
NFFBF77CA  18-09     1550(1550)  34(34)      46.0  46.0
IFFBF97CA  13-08     1348(1348)  43(43)      31.6  31.6
IFFBF47DA  13-09     1452(1452)  37(37)      39.3  39.3
JFFBF47CA  13-11     1870(1870)  40(40)      47.1  47.1
KFFBF28CA  15-05     1840(2055)  45(40)      51.5  40.9
IFFBF28CA  13-08     1579(1579)  41(41)      38.4  38.4
HFFBF67CA  12-12     1500(1500)  34(34)      43.9  43.9
JFFBF97CA  14-03     1760(1760)  39(39)      45.3  45.3
KFFBF77CA  15-06     1721(1951)  42(39)      50.5  40.9
NFFBF88DA  18-07     1530(1930)  37(33)      58.2  41.3
IFFBF57CA  13-05     2050(2180)  44(36)      61.0  47.0
KFFBF87CA  15-06     1760(2000)  43(40)      50.5  40.9
IFFBF38CA  13-06     1840(2040)  42(39)      51.8  44.0
HFFBF67CA  12-10     1829(2019)  41(35)      57.3  44.6
HFFBF67CA  12-10     1870(2050)  42(36)      57.3  44.6
KFFBF28CA  15-02     1990(2200)  46(40)      55.1  43.6
IFFBF48CA  13-07     1695(1695)  44(44)      38.3  38.3
HFFBF48CA  12-08     1873(1873)  39(39)      47.6  47.6
