ID         交易年月  總價(含車)  單價(含車)  權狀   建坪 
JFFBF38CA  14-04     3270(3270)  33(33)      98.7   98.7 
JFFBF57CA  14-04     4100(4100)  48(48)      86.0   86.0 
NFFBF97DA  18-03     3300(3300)  34(34)      98.4   98.4 
IFFBF27CA  13-10     6550(6550)  40(40)      163.0  163.0
OFFBF38CA  19-09     4130(4130)  36(36)      114.2  114.2
LFFBF38CA  16-03     3830(4050)  39(38)      107.2  98.3 
HFFBF27CA  12-10     3028(3028)  32(32)      93.5   93.5 
LFFBF77CA  16-08     2750(2750)  33(33)      82.6   82.6 
NFFBF78CA  18-07     3395(3800)  40(37)      103.4  84.3 
JFFBF48CA  14-05     3898(3898)  44(44)      88.7   88.7 
IFFBF28CA  13-10     5770(5770)  42(42)      138.7  138.7
IFFBF47CA  13-10     3276(3276)  40(40)      82.9   82.9 
KFFBF08CA  15-03     3208(3628)  39(36)      100.7  83.0 
PFFBF68CA  19-11     2880(2880)  35(35)      82.5   82.5 
KFFBF67CA  14-11     4098(4608)  50(38)      120.3  82.7 
HFFBF47CA  12-10     3300(3300)  32(32)      104.4  104.4
KFFBF28CA  15-06     4370(4580)  43(42)      109.7  100.8
IFFBF67CA  13-09     3160(3160)  31(31)      100.8  100.8
IFFBF97CA  12-12     3410(3410)  37(37)      93.4   93.4 
LFFBF58CA  16-10     3795(4305)  45(36)      121.2  83.6 
KFFBF48CA  15-01     2888(2888)  36(36)      80.1   80.1 
MFFBF08CA  17-09     3200(3200)  32(32)      99.6   99.6 
JFFBF28CA  13-03     3345(3345)  39(39)      86.1   86.1 
IFFBF08CA  12-12     2832(2832)  34(34)      83.3   83.3 
KFFBF56CA  15-08     4814(5384)  46(38)      141.7  104.1
NFFBF97CA  17-12     3388(4028)  40(35)      114.7  84.9 
LFFBF08CA  16-04     4424(4834)  44(33)      144.6  101.2
JFFBF37CA  14-08     3848(4388)  47(36)      120.3  82.7 
OFFBF18CA  18-12     4073(4793)  49(43)      111.7  82.6 
MFFBF48CA  17-07     3665(4115)  37(35)      116.4  99.3 
JFFBF67CA  13-12     6500(7040)  50(44)      159.8  130.9
JFFBF28CA  14-07     3710(4250)  44(35)      121.2  83.6 
JFFBF38CA  14-08     3610(4450)  44(34)      132.8  82.7 
PFFBF56EA  20-07     3688(3688)  36(36)      102.5  102.5
MFFBF08CA  17-09     4297(4757)  52(46)      102.5  82.6 
OFFBF48CA  19-03     4380(4380)  38(38)      115.7  115.7
KFFBF97CA  14-12     5028(5538)  48(39)      141.7  104.1
LFFBF68DA  16-06     2865(2865)  32(32)      89.9   89.9 
MFFBF18CA  16-12     3892(4402)  47(37)      120.4  82.8 
LFFBF18CA  16-10     3550(3550)  41(41)      86.0   86.0 
NFFBF38CA  18-09     3599(4319)  43(36)      121.2  83.6 
NFFBF68CA  18-04     3435(4100)  40(35)      115.6  85.9 
LFFBF09CA  16-08     4658(5168)  45(36)      141.7  104.1
KFFBF67CA  15-08     3460(3870)  41(39)      100.5  83.4 
JFFBF27CA  14-09     4078(4588)  49(38)      120.3  82.7 
KFFBF47CA  14-11     3978(4488)  48(37)      121.2  83.6 
LFFBF18CA  16-02     3300(3300)  33(33)      100.8  100.8
LFFBF18CA  15-12     4840(5600)  46(36)      154.2  104.1
KFFBF58CA  15-04     3138(3138)  36(36)      87.5   87.5 
HFFBF37CA  12-10     3065(3065)  33(33)      94.3   94.3 
PFFBF68EA  20-05     3975(3975)  35(35)      113.0  113.0
IFFBF47CA  13-10     2808(2808)  34(34)      83.1   83.1 
KFFBF48CA  15-05     3085(3085)  36(36)      86.4   86.4 
IFFBF08CA  13-10     3350(3350)  37(37)      90.4   90.4 
JFFBF28CA  14-11     3423(3423)  35(35)      98.6   98.6 
LFFBF98CA  16-07     3500(3500)  37(37)      94.6   94.6 
JFFBF18DA  14-04     3000(3000)  37(37)      81.0   81.0 
MFFBF97CA  17-09     5010(5700)  38(36)      157.1  130.4
IFFBF57CA  13-10     3392(3392)  38(38)      90.4   90.4 
HFFBF57CA  12-10     3286(3286)  35(35)      94.6   94.6 
OFFBF88CA  18-12     3415(3790)  40(36)      105.1  85.3 
KFFBF58CA  15-03     4090(4750)  42(38)      125.1  98.4 
KFFBF77CA  14-12     3978(4488)  48(37)      121.2  83.6 
